iter	Passed	Remaining
227	5202	17617
228	5228	17605
229	5255	17593
230	5281	17582
231	5307	17569
232	5334	17560
233	5359	17545
234	5386	17534
235	5411	17518
236	5438	17507
237	5463	17493
238	5490	17481
239	5514	17463
240	5540	17450
241	5566	17435
242	5592	17420
243	5617	17405
244	5653	17421
245	5679	17408
246	5705	17393
247	5733	17384
248	5758	17368
249	5783	17349
250	5809	17335
251	5834	17317
252	5858	17298
253	5885	17286
254	5912	17274
255	5939	17260
256	5965	17246
257	5995	17241
258	6023	17232
259	6047	17213
260	6072	17192
261	6094	17166
262	6121	17153
263	6147	17137
264	6173	17121
265	6196	17099
266	6220	17076
267	6245	17059
268	6272	17045
269	6299	17031
270	6326	17018
271	6353	17005
272	6378	16985
273	6403	16966
274	6428	16948
275	6454	16932
276	6481	16916
277	6508	16903
278	6535	16888
279	6563	16878
280	6589	16861
281	6611	16834
282	6634	16808
283	6655	16778
284	6676	16748
285	6692	16708
286	6707	16664
287	6726	16629
288	6752	16613
289	6779	16598
290	6803	16575
291	6823	16545
292	6845	16518
293	6872	16502
294	6900	16490
295	6925	16470
296	6951	16453
297	6978	16439
298	7005	16424
299	7032	16408
300	7059	16394
301	7086	16378
302	7113	16362
303	7138	16343
304	7164	16325
305	7190	16306
306	7217	16293
307	7243	16273
308	7269	16256
309	7295	16237
310	7321	16219
311	7347	16203
312	7375	16189
313	7402	16173
314	7429	16156
315	7456	16139
316	7483	16123
317	7510	16106
318	7535	16087
319	7562	16069
320	7588	16050
321	7615	16035
322	7641	16016
323	7669	16001
324	7695	15983
325	7721	15964
326	7747	15944
327	7773	15926
328	7799	15907
329	7826	15889
330	7853	15872
331	7878	15852
332	7905	15835
333	7942	15837
334	7968	15818
335	7995	15800
336	8021	15780
337	8047	15761
338	8073	15741
339	8098	15720
340	8125	15702
341	8152	15684
342	8176	15662
343	8202	15642
344	8231	15627
345	8260	15613
346	8287	15596
347	8314	15577
348	8338	15554
349	8363	15532
350	8389	15511
351	8415	15491
352	8440	15471
353	8466	15450
354	8485	15418
355	8500	15377
356	8523	15351
357	8549	15331
358	8575	15311
359	8601	15292
360	8627	15272
361	8654	15252
362	8680	15231
363	8706	15213
364	8735	15196
365	8761	15177
366	8789	15159
367	8815	15140
368	8844	15124
369	8871	15105
370	8896	15084
371	8924	15065
372	8950	15045
373	8976	15025
374	9003	15005
375	9028	14984
376	9051	14957
377	9078	14938
378	9104	14917
379	9130	14896
380	9157	14877
381	9183	14857
382	9204	14827
383	9225	14798
384	9249	14775
385	9275	14754
386	9301	14733
387	9326	14711
388	9352	14689
389	9379	14670
390	9406	14651
391	9440	14643
392	9468	14624
393	9495	14604
394	9522	14584
395	9548	14563
396	9575	14543
397	9601	14522
398	9627	14501
399	9654	14481
400	9679	14459
401	9705	14437
402	9730	14414
403	9757	14394
404	9784	14374
